iteration,gamma,rho
0,10.0,0.5432418584823608
1,9.999032974243164,0.5395078659057617
2,9.997997283935547,0.5335312485694885
3,9.99701976776123,0.5288463830947876
4,9.996011734008789,0.5469034314155579
5,9.995027542114258,0.5453841686248779
6,9.994070053100586,0.5330928564071655
7,9.993036270141602,0.5469954609870911
8,9.992061614990234,0.5205960869789124
9,9.99107551574707,0.5441712141036987
10,9.990043640136719,0.5447133779525757
11,9.989035606384277,0.530785322189331
12,9.988041877746582,0.5225464105606079
13,9.987044334411621,0.5541512966156006
14,9.986027717590332,0.5279431939125061
15,9.985062599182129,0.5558069348335266
16,9.984065055847168,0.5192872285842896
17,9.98306655883789,0.5512948632240295
18,9.982077598571777,0.5415134429931641
19,9.981108665466309,0.5413249135017395
20,9.980094909667969,0.5299959182739258
21,9.979116439819336,0.5259356498718262
22,9.978121757507324,0.5382038354873657
23,9.977131843566895,0.5450688600540161
24,9.976142883300781,0.5610687732696533
25,9.975115776062012,0.5409347414970398
26,9.974123001098633,0.531600832939148
27,9.973155975341797,0.5725465416908264
28,9.972153663635254,0.5724755525588989
29,9.971163749694824,0.5771886110305786
30,9.970186233520508,0.5087013840675354
31,9.969218254089355,0.5396937131881714
32,9.968235969543457,0.5356113910675049
33,9.967233657836914,0.5315242409706116
34,9.966225624084473,0.5244944095611572
35,9.9652099609375,0.544191300868988
36,9.964212417602539,0.5404454469680786
37,9.963225364685059,0.5298236608505249
38,9.962228775024414,0.5398290157318115
39,9.961211204528809,0.5377025604248047
40,9.960213661193848,0.5414330363273621
41,9.959211349487305,0.5445609092712402
42,9.958202362060547,0.5263826847076416
43,9.95724868774414,0.5181751251220703
44,9.95625114440918,0.5167686939239502
45,9.955282211303711,0.5338841080665588
46,9.954261779785156,0.532612681388855
47,9.953261375427246,0.5540910959243774
48,9.952280044555664,0.5089418888092041
49,9.951284408569336,0.542931318283081
50,9.950298309326172,0.5392941236495972
51,9.949315071105957,0.5528910160064697
52,9.948326110839844,0.5613274574279785
53,9.947314262390137,0.5652464628219604
54,9.946268081665039,0.5160382986068726
55,9.94525146484375,0.5320773124694824
56,9.944265365600586,0.5569740533828735
57,9.943245887756348,0.5632643699645996
58,9.942231178283691,0.5260872840881348
59,9.941208839416504,0.5704205632209778
60,9.940211296081543,0.5614206790924072
61,9.939209938049316,0.5386453866958618
62,9.938203811645508,0.5291506052017212
63,9.937203407287598,0.5527223348617554
64,9.936225891113281,0.5410661697387695
65,9.935237884521484,0.5587679147720337
66,9.934234619140625,0.5287401676177979
67,9.933209419250488,0.5325045585632324
68,9.932243347167969,0.5628600120544434
69,9.931239128112793,0.5482558012008667
70,9.93021011352539,0.5726564526557922
71,9.92917251586914,0.5163559913635254
72,9.928186416625977,0.5730273723602295
73,9.92718505859375,0.5192676782608032
74,9.926197052001953,0.5313941240310669
75,9.925232887268066,0.5387605428695679
76,9.92420768737793,0.5237970948219299
77,9.92322063446045,0.5280280113220215
78,9.922246932983398,0.5107331871986389
79,9.921257972717285,0.5598907470703125
80,9.920272827148438,0.530785083770752
81,9.919271469116211,0.5668222904205322
82,9.918240547180176,0.5548065900802612
83,9.917214393615723,0.5554543137550354
84,9.916187286376953,0.5414659976959229
85,9.915189743041992,0.5487134456634521
86,9.91417407989502,0.5475345253944397
87,9.913147926330566,0.5502411127090454
88,9.912179946899414,0.5312099456787109
89,9.91117000579834,0.5437355637550354
90,9.91015338897705,0.5504223108291626
91,9.90913200378418,0.5388319492340088
92,9.908143997192383,0.5273159742355347
93,9.907127380371094,0.5413616895675659
94,9.90613842010498,0.5288547873497009
95,9.905163764953613,0.5242234468460083
96,9.90415096282959,0.5652156472206116
97,9.903122901916504,0.539751410484314
98,9.902094841003418,0.5650110244750977
99,9.90108871459961,0.5617191791534424
100,9.900076866149902,0.5338084101676941
101,9.899115562438965,0.5411720275878906
102,9.89810848236084,0.5313818454742432
103,9.897096633911133,0.5432153344154358
104,9.896103858947754,0.5453673601150513
105,9.895115852355957,0.5446709394454956
106,9.894084930419922,0.5595743656158447
107,9.893077850341797,0.5193842649459839
108,9.89207935333252,0.5344780683517456
109,9.891082763671875,0.534848690032959
110,9.890042304992676,0.5125434398651123
111,9.889015197753906,0.544374942779541
112,9.888023376464844,0.5632572174072266
113,9.886996269226074,0.5318052768707275
114,9.885964393615723,0.5472323894500732
115,9.8849458694458,0.5419407486915588
116,9.883925437927246,0.5702011585235596
117,9.882926940917969,0.5434993505477905
118,9.88188362121582,0.5175037384033203
119,9.880849838256836,0.5386399030685425
120,9.879842758178711,0.5411998629570007
121,9.878847122192383,0.5546720027923584
122,9.877836227416992,0.5075631141662598
123,9.876834869384766,0.5650739073753357
124,9.875822067260742,0.5237287282943726
125,9.874802589416504,0.5494720935821533
126,9.873820304870605,0.5594303607940674
127,9.872804641723633,0.5223740339279175
128,9.871809959411621,0.55210280418396
129,9.870809555053711,0.5465529561042786
130,9.869827270507812,0.5541845560073853
131,9.868810653686523,0.5384355783462524
132,9.867802619934082,0.5110771656036377
133,9.866803169250488,0.5106661319732666
134,9.865804672241211,0.5506592988967896
135,9.864781379699707,0.5621522068977356
136,9.863779067993164,0.5568031668663025
137,9.862792015075684,0.5433894991874695
138,9.861786842346191,0.545508623123169
139,9.860779762268066,0.5398801565170288
140,9.859779357910156,0.5372024178504944
141,9.858780860900879,0.522820234298706
142,9.857772827148438,0.5610178112983704
143,9.856724739074707,0.5431835651397705
144,9.85575008392334,0.5306134223937988
145,9.854776382446289,0.5480262041091919
146,9.853775024414062,0.5586528182029724
147,9.852774620056152,0.539114773273468
148,9.851766586303711,0.5341800451278687
149,9.85076904296875,0.5329037308692932
150,9.849777221679688,0.5266968607902527
151,9.848786354064941,0.5382808446884155
152,9.847774505615234,0.5272905826568604
153,9.846770286560059,0.5763493180274963
154,9.845767974853516,0.5451775789260864
155,9.844769477844238,0.5361384153366089
156,9.84379768371582,0.5301358699798584
157,9.842756271362305,0.5535463094711304
158,9.841784477233887,0.5330621004104614
159,9.840776443481445,0.5447898507118225
160,9.839764595031738,0.5251156091690063
161,9.838775634765625,0.5476458668708801
162,9.83778190612793,0.5132715702056885
163,9.836771011352539,0.5258574485778809
164,9.83577823638916,0.5319523215293884
165,9.834771156311035,0.5164395570755005
166,9.83377742767334,0.535801887512207
167,9.832762718200684,0.5445735454559326
168,9.831753730773926,0.5358995199203491
169,9.830764770507812,0.539559006690979
170,9.829727172851562,0.5483911633491516
171,9.828702926635742,0.5218155384063721
172,9.8277006149292,0.5462237596511841
173,9.82671070098877,0.5281174778938293
174,9.82573127746582,0.5375490188598633
175,9.824710845947266,0.5655516386032104
176,9.823684692382812,0.5284161567687988
177,9.822659492492676,0.5374023914337158
